"p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
4.87963624153868e-115,0.761814634221048,0.906,0.661,9.95201811461813e-111,"0","NPC2"
2.12069228675792e-114,1.31388473090185,0.541,0.23,4.32515191884278e-110,"0","IGSF6"
3.81815242910467e-112,2.18304495065744,0.306,0.081,7.78712187915897e-108,"0","MFSD12"
9.37068194253509e-112,1.03867128182288,0.691,0.371,1.91115058218003e-107,"0","ITGB2"
2.15391698344154e-110,1.59265344413941,0.431,0.16,4.39291368772902e-106,"0","CTSA"
3.86561356361499e-110,1.66337226342333,0.433,0.165,7.88391886299278e-106,"0","RAP2B"
2.87611270054832e-109,0.966271539723869,0.784,0.503,5.86583185276829e-105,"0","BRI3"
3.22807806943745e-109,1.59271491998857,0.393,0.132,6.58366522261767e-105,"0","FPR3"
1.28915204839117e-108,0.972394661793614,0.591,0.251,2.62922560269379e-104,"0","MRC1"
1.62459666222993e-108,2.43215409223651,0.266,0.063,3.31336489261794e-104,"0","KCNMA1"
4.77413973853316e-108,0.544987049689418,0.937,0.559,9.73685799673837e-104,"0","HLA-DPA1"
1.28682566467824e-107,1.47344081990189,0.452,0.175,2.62448094311127e-103,"0","HEXB"
1.37591488274641e-107,0.953526709700226,0.663,0.324,2.8061784033613e-103,"0","ZEB2"
8.6289927296096e-107,1.75793490207671,0.39,0.136,1.75988306720388e-102,"0","SLCO2B1"
1.5160232981232e-106,0.615616527247547,0.964,0.648,3.09192951652227e-102,"0","SRGN"
3.4152863535403e-103,1.52568243813155,0.445,0.176,6.96547651804544e-99,"0","MAFB"
3.29864375496851e-102,1.76553175591155,0.351,0.114,6.72758393825827e-98,"0","GNB4"
5.99492975409721e-101,1.7144165520667,0.356,0.117,1.22266592334813e-96,"0","BHLHE41"
9.70300933144801e-101,1.11254977369126,0.737,0.469,1.97892875314882e-96,"0","LGALS3"
9.15714055748421e-100,1.54176004678551,0.384,0.134,1.8675988166989e-95,"0","ITGAX"
2.5403681628948e-99,1.26281721029875,0.531,0.247,5.18108086822394e-95,"0","ATP6V1B2"
2.92724225586733e-99,1.29288379887998,0.408,0.144,5.97011058084143e-95,"0","TMEM176B"
3.05304846802231e-99,1.64732713401678,0.353,0.116,6.22669235053151e-95,"0","SLC15A3"
2.00199227054071e-97,0.880453626513299,0.624,0.296,4.08306323576778e-93,"0","OLR1"
4.60748368882961e-97,2.03747128400141,0.375,0.143,9.396962983368e-93,"0","FUCA1"
6.63415711169163e-97,2.05054027637774,0.275,0.073,1.35303634292951e-92,"0","LHFPL2"
3.3979336022361e-96,0.813070553886171,0.857,0.627,6.93008558176053e-92,"0","SH3BGRL3"
2.21701165195303e-95,1.54421540345306,0.382,0.138,4.5215952641582e-91,"0","PMP22"
2.4170965288911e-95,0.952331901073462,0.544,0.24,4.92966837067339e-91,"0","C1QC"
3.76667529229147e-95,2.15403596024361,0.274,0.074,7.68213425862844e-91,"0","HMOX1"
6.04886818176515e-95,0.779172863995152,0.875,0.682,1.233666665671e-90,"0","CD63"
1.16829437953497e-94,1.30553215828891,0.504,0.235,2.38273638706158e-90,"0","RNF130"
6.62267649412042e-93,1.34741456709199,0.492,0.229,1.35069487097586e-88,"0","LAMP2"
1.79740515075259e-92,1.64410976377773,0.33,0.108,3.66580780495991e-88,"0","DMXL2"
1.80220109342679e-92,0.900216074029818,0.737,0.441,3.67558913004395e-88,"0","ANXA5"
1.01097927069927e-91,1.44117062050742,0.424,0.177,2.06189222259115e-87,"0","GNS"
1.50387037385755e-91,1.16927876850131,0.507,0.231,3.06714362748247e-87,"0","CXCL16"
5.459676987127e-91,1.1360530989081,0.466,0.194,1.11350112152455e-86,"0","PLEK"
2.25569971432211e-89,0.973117067385946,0.562,0.274,4.60049956735995e-85,"0","PLAUR"
3.03769283633986e-89,0.966047932292668,0.664,0.383,6.19537453971515e-85,"0","ATP6V0B"
5.02741767359621e-89,0.985841758462323,0.641,0.358,1.02534183452995e-84,"0","ATP6V1F"
1.4840596721295e-87,1.06982097343309,0.583,0.306,3.02673970130811e-83,"0","H2AFY"
2.38168004767228e-87,0.883929526719716,0.736,0.468,4.85743645722761e-83,"0","ZFAND5"
3.09928176718553e-87,2.03663570718248,0.251,0.067,6.32098516417489e-83,"0","TTYH3"
7.22618348768477e-87,1.49595183618069,0.374,0.144,1.47378012231331e-82,"0","CYFIP1"
1.01227147770058e-86,0.879456012687001,0.672,0.386,2.06452767877034e-82,"0","HLA-DMA"
1.38311258167818e-85,1.12380119065194,0.569,0.301,2.82085811033265e-81,"0","FBP1"
4.278835436994e-85,1.14314835399374,0.445,0.19,8.72668487374927e-81,"0","BASP1"
4.30658725427177e-84,1.84975112200644,0.271,0.08,8.78328470508728e-80,"0","CCR1"
4.82338630413409e-84,1.41277422369733,0.35,0.125,9.83729636728148e-80,"0","TNFSF13B"
3.39637942852888e-83,1.43503992699391,0.399,0.167,6.92691584448466e-79,"0","SOAT1"
3.52004323837938e-83,0.546045311186707,0.765,0.417,7.17912818467474e-79,"0","AIF1"
7.08020775573349e-83,0.530397270025688,0.96,0.826,1.44400837178185e-78,"0","S100A11"
1.11259165914608e-82,1.17525663466899,0.493,0.235,2.26913068882843e-78,"0","PPT1"
1.51107847470026e-81,1.39571921178152,0.423,0.19,3.08184454915117e-77,"0","CPM"
1.59820473100763e-81,0.366394996732011,0.889,0.552,3.25953854889007e-77,"0","HLA-DPB1"
1.74125282138115e-81,0.539439417312817,0.993,0.949,3.55128512920686e-77,"0","ACTB"
1.17582359052363e-80,1.0821788049646,0.54,0.281,2.39809221287294e-76,"0","LIMS1"
2.9880157331024e-78,0.946220479164157,0.544,0.271,6.09405808766234e-74,"0","CD83"
7.53111771957222e-78,1.0810543203212,0.461,0.213,1.53597145890675e-73,"0","KCTD12"
7.64811579459684e-78,0.859060783651751,0.711,0.454,1.55983321630803e-73,"0","LITAF"
1.89597425312943e-77,0.925619518179313,0.599,0.332,3.86683948925748e-73,"0","FCGRT"
5.46491081024314e-76,1.43097283807033,0.379,0.16,1.11456855974909e-71,"0","NCEH1"
3.27731236865935e-75,1.13123817243356,0.478,0.23,6.68407857588075e-71,"0","ARHGAP18"
